Company Name,Current Rank,Previous Rank,Senior Executive Name & Title,Year established,Total Staff,Total staff in WA,Balance date,Total Revenue,Total Revenue (previous year),Operating Revenue,Operating Revenue (previous year),Profit or Loss,Profit or Loss (previous year),Total Assets,Total Assets (previous year),Total Liabilities,Total Liabilities (previous year),Trading status,Debt - Term Loans Due,Debt - Term Loans Expire,Debt - Interest Bearing Loan & Borrowing Date,Debt - Interest Bearing Loan & Borrowing Amount,Debt - Term Loans Amount,"Debt - Term Loans (e.g. Syndicated, bonds etc)",Short Term Debt,Short Term Debt (previous year),Long Term Debt,Long Term Debt (previous year),Joint Ventures - Partner Name,Joint Ventures - Beneficial Interest,Joint Ventures - Share of Revenue,Joint Ventures - Carrying Amount,Joint Ventures - Profit/Loss,Joint Ventures - Assets,Joint Ventures - Liabilities,Associates - Name,Associates - Beneficial Interest,Associates - Share of Revenue,Associates - Carrying Amount,Associates - Profit/Loss,Associates - Assets,Associates - Liabilities,Company Status,Lawyers,Auditors,Geographical,Industry,Shares (million),ASX Code,Share Registry,Home Exchange,Ultimate holding company
Arafura Rare Earths,,,"Darryl Cuzzubbo(Managing Director, Chief Executive )",,,,30-Jun-2025,$12.76m,$50.68k,$0,$0,$-19.24m,$-100.97m,$155.85m,$170.09m,$6.59m,$25.98m,,,,,,,,$237.62k,$496.70k,$0,$252.83k,,,,,,,,,,,,,,,,Johnson Winter and Slattery,BDO Audit Pty Ltd,,"Arafura Rare Earths Ltd (ARU) is involved in…Arafura Rare Earths Ltd (ARU) is involved in progressing the engineering and design of the Nolans Project, securing funding and offtake agreements for the project, conducting social and environmental assessments, and carrying out mineral exploration, resource definition, and project development.","2,834",ARU,,PERTH,
Aston Minerals,,,,2010,,,30-Jun-2025,$3.71m,$1.04m,$3.09m,$456.91k,$-10.11m,$-7.44m,$18.40m,$8.80m,$3.74m,$4.96m,,,,,,,,$57.42k,$1.24m,$0,$57.42k,,,,,,,,,,,,,,,,Gadens Lawyers,William Buck Audit (VIC) Pty Ltd,,"Vitasora Health Limited (VHL, formerly Respiri…Vitasora Health Limited (VHL, formerly Respiri Limited) is an international e-Health SaaS company supporting respiratory health management focusing primarily on supporting the US remote patient monitoring market. Its technology detects wheeze, a typical symptom of Asthma, COPD and respiratory disease to provide an objective measure of airway limitation. Vitasora Health created technology optimises how patients in partnership with their physicians manage chronic respiratory conditions.","1,718",ASO,,MELBOURNE,
Ausgold,,,,,,,30-Jun-2025,$1.58m,$34.37k,$0,$0,$-10.75m,$-8.34m,$103.83m,$89.59m,$5.51m,$5.32m,,,,,,,,$306.83k,$2.36m,$121.53k,$428.35k,,,,,,,,,,,,,,,,"Gilbert & Tolbin, Lawton McMaster Legal",BDO Audit Pty Ltd,,AusGold Limited (AUC) is a Company engaged in…AusGold Limited (AUC) is a Company engaged in development of wholly owned Katanning Gold Project and exploration for gold and other metals.,424,AUC,,PERTH,
BCI Minerals,,,David Boshoff(Managing Director),2006,,,30-Jun-2025,$275.00k,$0,$0,$0,$-47.05m,$-15.33m,$1.20bn,$1.02bn,$430.26m,$216.22m,,,,,,,,$147.00k,$584.00k,$368.98m,$113.26m,,,,,,,,,,,,,,,,,BDO Audit Pty Ltd,,"BCI Minerals Limited (BCI) is an Australian based…BCI Minerals Limited (BCI) is an Australian based mineral resources company which is operating an industrial minerals business, with salt and potash as its initial focus. The company is developing its 100 per cent owned Mardie Salt & Potash Project, a Tier One project located on the Pilbara coast in the centre of Western Australia's key salt production region.","2,887",BCI,,PERTH,
Beacon Minerals,,,"Graham McGarry(Executive Chair, Managing Director)",,,,30-Jun-2025,$92.48m,$84.11m,$92.37m,$82.90m,$-14.00m,$8.74m,$112.32m,$103.88m,$45.74m,$47.22m,,,,,,,,$3.27m,$2.65m,$5.05m,$6.71m,,,,,,,,,,,,,,,,,William Buck Audit (WA) Pty Ltd,,"Beacon Minerals Ltd (BCN), is an ASX-listed gold…Beacon Minerals Ltd (BCN), is an ASX-listed gold mining and exploration company based in the Eastern Goldfields of Western Australia. The principal activity of the Group is mineral development and production in Western Australia",105,BCN,,PERTH,
Bellevue Gold,,,,,,,30-Jun-2025,$399.59m,$298.41m,$505.84m,$298.41m,$-45.89m,$75.42m,$1.25bn,$939.03m,$424.93m,$544.19m,,,,,,,,$6.22m,$58.10m,$336.08m,$418.75m,,,,,,,,,,,,,,,,,Ernst & Young,,Bellevue Gold Limited (BGL) is engaged in the…Bellevue Gold Limited (BGL) is engaged in the exploration and evaluation of minerals and mining and processing of gold at its Bellevue Gold Project in Australia.,"1,480",BGL,,PERTH,
Berkeley Energia,,,Robert Behets(Non-Executive Director; Acting MD since 2019),,,,30-Jun-2025,$888.00k,$188.00k,$0,$0,$-5.43m,$-3.26m,$84.53m,$87.38m,$3.16m,$2.48m,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,"Herbert Smith Freehills, S.L.P, LCS Abogados,…Herbert Smith Freehills, S.L.P, LCS Abogados, Simmons & Simmons LLP, Thomson Geer",Ernst & Young,,"Berkeley Energia Limited (BKY, formerly Berkeley…Berkeley Energia Limited (BKY, formerly Berkeley Energy Limited) is a energy company focused on bringing its wholly owned Salamanca Uranium Project (""Salamanca"" or ""Project"") into production. This uranium project is located in west of Madrid, Spain.",445,BKY,,PERTH,
Boss Energy,,,"Marat Abzalov(Leader, Technical Advisory Board)",,,,30-Jun-2025,$75.92m,$57.06m,$75.60m,$0,$-34.17m,$44.59m,$528.22m,$539.02m,$44.54m,$28.71m,,,,,,,,$164.00k,$158.00k,$326.00k,$490.00k,,,,,,,,,,,,,,,,,KPMG,,"Boss Energy Ltd (BOE) is a minerals exploration…Boss Energy Ltd (BOE) is a minerals exploration company with focus on Honeymoon Uranium Project in South Australia. Boss Energy is committed to delivering sound Environmental, Social, and Governance (ESG) outcomes. The company recognizes that instilling ESG values creates long-term societal value by addressing needs and challenges",414,BOE,,PERTH,
BPH Energy,,,"David Breeze(Executive Chair, Managing Director, Company Secretary since 2016)",,,,30-Jun-2025,$6.99m,$6.00m,$0,$0,$6.79m,$4.56m,$39.18m,$30.29m,$697.22k,$984.82k,,,,,,,,$84.82k,$84.82k,$0,$0,,,,,,,,,,,,,,,,,HLB Mann Judd,,"BPH Energy Ltd (BPH) is a company holding…BPH Energy Ltd (BPH) is a company holding investments in resources and medical technology. BPH holds a significant interest (36%) in unlisted oil and gas exploration company Advent Energy Ltd. BPH is commercialising Australian biomedical technologies emerging from collaborative research by leading universities, medical institutes and hospitals across Australia.","1,218",BPH,,PERTH,
Capricorn Metals,,,Mark Clark(Executive Chair),,,,30-Jun-2025,$506.08m,$359.98m,$505.89m,$359.73m,$150.28m,$87.14m,$1.04bn,$602.51m,$258.48m,$396.15m,,,,,,,,$10.14m,$110.95m,$21.66m,$23.82m,,,,,,,,,,,,,,,,,KPMG,,"Capricorn Metals Ltd is an Australian based gold…Capricorn Metals Ltd is an Australian based gold producer headquartered in Perth, Western Australia. The Company operates within two project areas within Western Australia: The Karlawinda Gold Project and The Mt Gibson Gold Project.",431,CMM,,PERTH,
Carnarvon Energy,,,Philip Huizenga(Chief Executive),,,,30-Jun-2025,$3.82m,$-999.00k,$0,$0,$3.65m,$-656.00k,$276.32m,$267.59m,$4.79m,$1.26m,,,,,,,,$195.00k,$190.00k,$193.00k,$411.00k,,,,,,,,,,,,,,,,,Ernst & Young,,Carnarvon Energy Limited (CVN is an independent…Carnarvon Energy Limited (CVN is an independent oil and gas explorer incorporated in 1983 and listed on the Australian Stock Exchange. The Company interests in the undeveloped oil and condensate project offshore Australia and value growth through exploration in the offshore Bedout Basin.,"1,789",CVN,,PERTH,
Catalyst Metals,,,"James Champion de Crespigny(Managing Director, Chief Executive Officer)",,,,30-Jun-2025,$361.95m,$319.39m,$361.41m,$317.01m,$119.27m,$23.56m,$651.94m,$340.48m,$181.20m,$145.19m,,,,,,,,$9.02m,$22.65m,$6.82m,$10.35m,,,,,,,,,,,,,,,,,RSM Australia Partners,,Catalyst Metals Limited (CYL) is an Australian…Catalyst Metals Limited (CYL) is an Australian gold producer that has a landholding in three prolific Australian gold belts. It is involved in mineral exploration and evaluation and production of gold.,254,CYL,,PERTH,
Deterra Royalties,,,"Julian Andrews(Chief Executive Officer, Managing Director)",2020,,,30-Jun-2025,$271.90m,$240.51m,$241.96m,$240.51m,$155.70m,$154.89m,$502.37m,$101.29m,$377.71m,$20.94m,,,,,,,,$111.00k,$95.00k,$295.29m,$402.00k,,,,,,,,,,,,,,,,,PricewaterhouseCoopers,,"Deterra Royalties Limited (DRR) is an ASX-listed…Deterra Royalties Limited (DRR) is an ASX-listed diversified royalty company to deliver sustainable shareholder value through a balance of value-accretive investment and shareholder returns. The Company's principal activity is the management and growth of a portfolio of royalty assets across a range of commodities, primarily focused on bulk, base and battery metals.",528,DRR,,PERTH,
Eden Innovations,,,Gregory Solomon(Executive Chair),,,,30-Jun-2025,$2.74m,$2.28m,$1.35m,$2.02m,$-6.93m,$-7.37m,$17.84m,$19.12m,$19.59m,$15.32m,,,,,,,,$16.34m,$12.79m,$0,$0,,,,,,,,,,,,,,,,Solomon Brothers,Nexia Perth Audit Services Pty Ltd,,"The Company is a carbon nanotube-enriched…The Company is a carbon nanotube-enriched admixture for concrete designed to improve tensile and flexural strength without affecting compressive strength, permeability, or corrosion resistance. The nanotubes fill spaces at the microscopic level between hydrated cement particles, reducing porous openings and preventing water penetration and cracks. The company recorded its first sales of EdenCrete® Pz7 to three Holcim plants in the USA and Ecuador, amounting to US$100,637.",329,EDE,,PERTH,
Emerald Resources,,,Morgan Hart(Managing Director),,,,30-Jun-2025,$430.76m,$367.93m,$430.41m,$366.04m,$87.61m,$80.70m,$756.12m,$712.42m,$100.68m,$154.45m,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,"Murcia Pestell Hillard, Norton Rose Fulbright,…Murcia Pestell Hillard, Norton Rose Fulbright, Steinepreis Paganin",HLB Mann Judd,,"Emerald Resources NL (EMR) is an explorer and…Emerald Resources NL (EMR) is an explorer and developer of gold projects with its head office in Perth, Western Australia. The company focuses on the development of the Company's 100% owned Okvau Gold Mine and mineral exploration and evaluation activities at its exploration assets in Cambodia and Western Australia.",659,EMR,,PERTH,
Elixir Energy,,,,,,,30-Jun-2025,$4.53k,$1.69m,$0,$0,$-41.21m,$-1.59m,$28.80m,$62.34m,$639.52k,$8.80m,,,,,,,,$0,$6.31m,$0,$31.71k,,,,,,,,,,,,,,,,,BDO Audit Pty Ltd,,"Elixir Energy Limited (EXR, formerly Elixir…Elixir Energy Limited (EXR, formerly Elixir Petroleum Limited) is an ASX listed natural gas and hydrogen exploration and development company in Mongolia and Australia.","1,399",EXR,,PERTH,
Fenix Resources,,,,,,,30-Jun-2025,$317.92m,$264.43m,$316.16m,$259.20m,$5.40m,$33.64m,$364.47m,$266.78m,$186.70m,$100.43m,,,,,,,,$25.94m,$13.33m,$56.98m,$28.59m,,,,,,,,,,,,,,,,,Grant Thornton Audit Pty Ltd,,"Fenix Resources (FEX) is a Company engaged in…Fenix Resources (FEX) is a Company engaged in mining, logistics and port services. This includes Exploration, development and mining of mineral tenements, provision of bulk commodity road and rail haulage logistics solutions and provision of in-loading access via truck or rail for secure storage.",744,FEX,,PERTH,
First Graphene,,,,,,,30-Jun-2025,$1.27m,$1.49m,$468.40k,$674.55k,$-5.48m,$-5.75m,$8.08m,$9.64m,$3.59m,$3.53m,,,,,,,,$2.73m,$2.72m,$338.11k,$322.58k,,,,,,,,,,,,,,,,EMK Lawyers,BDO Audit Pty Ltd,,"First Graphene Limited (FGR) is supplier of…First Graphene Limited (FGR) is supplier of graphitic materials and product formulations with a specific commercial focus on global markets including cement and concrete; composites and plastics; coatings, adhesives, sealants and elastomers (CASE); and energy storage applications. The Company is incorporated in the UK as First Graphene (UK) Ltd.",798,FGR,,PERTH,
Fortescue,,,Andrew Forrest(Executive Chair),2003,,"12,300",30-Jun-2025,$23.85bn,$27.57bn,$23.54bn,$27.34bn,$5.15bn,$8.58bn,$46.59bn,$45.38bn,$16.12bn,$15.90bn,,,,,,,,$335.88m,$289.86m,$7.97bn,$7.86bn,,,,,,,,,,,,,,,,,PricewaterhouseCooper,,"Fortescue Ltd (FMG, formerly Fortescue Metals…Fortescue Ltd (FMG, formerly Fortescue Metals Group Ltd) is the technology, energy and metals group accelerating the commercial decarbonisation of industry, rapidly, profitably and globally. The Company's metals business comprises its iron ore operations in the Pilbara as well as a pipeline of exploration projects globally including in Gabon in Africa, Latin America and Australia.","3,079",FMG,,PERTH,
Greatland Resources,,,Shaun Day(Managing Director),,,,30-Jun-2025,$1.00bn,$1.44m,$951.84m,$0,$337.26m,$-28.36m,$2.12bn,$0,$775.27m,$0,,,,,,,,$14.30m,$0,$17.27m,$0,,,,,,,,,,,,,,,,King & Wood Mallesons,"PKF Littlejohn LLP, PKF Perth",,"Greatland Resources Limited (GGP) is a Company…Greatland Resources Limited (GGP) is a Company that is engaged in gold and copper mining and production, project development, and the exploration and evaluation of mineral tenements in Western Australia.",670,GGP,,PERTH,
Genesis Minerals,,,Raleigh Finlayson(Managing Director),,,,30-Jun-2025,$1.01bn,$450.68m,$920.14m,$438.59m,$221.17m,$84.00m,$1.80bn,$1.21bn,$544.39m,$217.65m,,,,,,,,$23.33m,$12.93m,$177.55m,$32.28m,,,,,,,,,,,,,,,,,BDO Audit Pty Ltd,,"Genesis Minerals Limited (GMD) is a Company…Genesis Minerals Limited (GMD) is a Company engaged in gold mining, project development and exploration activities in Western Australia.","1,130",GMD,,PERTH,
Great Northern Minerals,,,,2007,,,30-Jun-2025,$541.87k,$53.05k,$0,$0,$-615.54k,$-2.01m,$1.41m,$3.75m,$57.31k,$2.33m,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,Nova Legal,Moore Australia Audit (WA),,Great Northern Minerals (GNM) is an ASX-listed…Great Northern Minerals (GNM) is an ASX-listed mineral explorer and developer with projects in Australia and Finland.,198,GNM,,PERTH,
IGO,,,"Ivan Vella(Chief Executive, Managing Director)",,,719,30-Jun-2025,$513.60m,$842.10m,$499.90m,$822.70m,$-954.60m,$2.80m,$2.36bn,$3.57bn,$263.90m,$357.50m,,,,,,,,$20.50m,$22.50m,$10.90m,$26.20m,,,,,,,,,,,,,,,,,BDO Audit Pty Ltd,,"IGO Limited (IGO) is a mineral exploration…IGO Limited (IGO) is a mineral exploration company involved in nickel, copper and cobalt mining and processing at the Nova and Forrestania Nickel Operations, development of the Cosmos Nickel Project, upstream and downstream lithium mining and processing operations via its 49% joint venture interest, and ongoing mineral exploration in Australia and overseas.",757,IGO,,PERTH,
Jupiter Mines,,,,,,,30-Jun-2025,$10.21m,$8.71m,$0,$0,$40.09m,$38.87m,$602.41m,$593.41m,$37.06m,$50.03m,,,,,,,,$113.01k,$98.99k,$186.14k,$299.14k,,,,,,,,,,,,,,,,,KPMG,,"Jupiter Mines Limited (JMS) is a pure-play…Jupiter Mines Limited (JMS) is a pure-play manganese company headquartered in Perth, Western Australia. Its flagship project is the Tshipi manganese mine in South Africa.","1,964",JMS,,PERTH,
Kingfisher Mining,,,,,,,30-Jun-2025,$575.81k,$-1.62m,$0,$0,$-2.01m,$-1.86m,$4.04m,$5.87m,$87.66k,$115.43k,,,,,,,,$24.00k,$24.00k,$6.05k,$26.34k,,,,,,,,,,,,,,,,Hamilton Locke Pty Ltd,Criterion Audit Pty Ltd,,"Kingfisher Mining Limited (KFM) is a mineral…Kingfisher Mining Limited (KFM) is a mineral exploration company committed to increasing value for shareholders through the acquisition, exploration and development of mineral resource projects throughout Western Australia.",86,KFM,,PERTH,
King River Resources,,,,,,,30-Jun-2025,$-859.92k,$5.38m,$0,$0,$-6.14m,$2.07m,$21.37m,$27.97m,$143.96k,$485.75k,,,,,,,,$23.50k,$20.12k,$21.56k,$43.20k,,,,,,,,,,,,,,,,Fairweather Corporate Lawyers,Ernst and Young,,King River Resources Limited (KRR) focus is Gold…King River Resources Limited (KRR) focus is Gold exploration with holdings at Mt Remarkable in the Kimberley region of northern Western Australia and at Tennant Creek in the NT. The Company continues to explore its Gold projects at Mt Remarkable and at Tennant Creek. Mt Remarkable is a epithermal gold discovery providing excellent opportunity for additional gold discoveries.,"1,463",KRR,,PERTH,
Livium,,,,,,,30-Jun-2025,$9.27m,$11.50m,$6.91m,$6.71m,$-4.57m,$-10.77m,$19.84m,$18.48m,$13.18m,$15.11m,,,,,,,,$5.65m,$3.82m,$166.36k,$385.34k,,,,,,,,,,,,,,,,,Hall Chadwick WA Audit Pty Ltd,,"Livium Ltd (LIT) is working to support the global…Livium Ltd (LIT) is working to support the global process of lithium production. The Company runs a battery recycling operation in Australia, produces lithium ferro phosphate (LFP), and has created a lithium extraction process. The company's recycling operation and technologies are positioned to benefit from global lithium-ion battery usage and offer variety benefits to supply systems.","1,702",LIT,,PERTH,
Lion Rock Minerals,,,,,,,30-Jun-2024,$72.16k,$222.16k,$0,$0,$-902.27k,$-1.65m,$159.04k,$1.11m,$817.31k,$826.90k,,,,,,,,$5.86k,$0,$0,$0,,,,,,,,,,,,,,,,,HLB Mann Judd,,"Lion Rock Minerals Limited (LRM, formerly Peak…Lion Rock Minerals Limited (LRM, formerly Peak Minerals Limited) has a multi-commodity portfolio containing assets across Central Africa and Australia.","2,907",LRM,,PERTH,
Mount Gibson Iron,,,Peter Kerr(Chief Executive),1996,,126,30-Jun-2025,$361.68m,$713.22m,$346.91m,$667.82m,$-82.19m,$6.43m,$582.67m,$664.30m,$129.49m,$118.13m,,,,,,,,$5.07m,$9.14m,$226.00k,$2.71m,,,,,,,,,,,,,,,,King & Wood Mallesons,Ernst & Young,,"Mount Gibson Iron Limited (MGX) is involved in…Mount Gibson Iron Limited (MGX) is involved in mining, processing and direct shipment of hematite iron ore at the Koolan Island mine site in the Kimberley region of Western Australia; care and maintenance of the Shine hematite iron ore site and related infrastructure, rehabilitation works at the Extension Hill mine site and management of the Geraldton Port facilities in the Mid-West region of Western Australia; treasury management; and the pursuit of mineral resources acquisitions and investments.","1,180",MGX,,PERTH,
Mineral Resources,,,Chris Ellison(Managing Director),1993,,"5,000",30-Jun-2025,$4.69bn,$5.75bn,$4.47bn,$5.24bn,$-904.00m,$125.00m,$11.93bn,$12.23bn,$8.27bn,$8.65bn,,,,,,,,$317.00m,$255.00m,$5.45bn,$5.08bn,,,,,,,,,,,,,,,,,Ernst & Young,,"Mineral Resources Limited (MIN) is a resources…Mineral Resources Limited (MIN) is a resources company, with operations in lithium, iron ore, energy and mining services across Western Australia. It is involved in mining activities and the integrated supply of goods and services to the resources sector.",196,MIN,,PERTH,
Northern Star Resources,,,"Stuart Tonkin(Chief Executive, Managing Director since 2021)",,,,30-Jun-2025,$6.46bn,$4.93bn,$6.41bn,$4.92bn,$1.34bn,$638.50m,$20.43bn,$13.08bn,$5.52bn,$4.29bn,,,,,,,,$247.80m,$152.40m,$1.46bn,$1.19bn,,,,,,,,,,,,,,,,,Deloitte Touche Tohmatsu,,Northern Star Resources Ltd (NST) is an…Northern Star Resources Ltd (NST) is an Australian gold producer listed on the Australian Securities Exchange. The company focuses on maintaining safe and responsible operations while delivering consistent performance and generating cash earnings to provide returns for its shareholders.,"1,430",NST,,PERTH,
Ora Banda Mining,,,"Luke Creagh(Chief Executive, Managing Director)",,,,30-Jun-2025,$404.29m,$238.74m,$404.29m,$214.24m,$186.08m,$27.57m,$444.42m,$195.81m,$158.04m,$99.03m,,,,,,,,$27.78m,$17.89m,$12.12m,$13.20m,,,,,,,,,,,,,,,,,KPMG,,"Ora Banda Mining Ltd (OBM) is positioned gold…Ora Banda Mining Ltd (OBM) is positioned gold exploration and development company as 100% owner of the Davyhurst Gold Project in the highly productive eastern goldfields region of Western Australia. OBM owns an existing centralised 1.2 Mtpa processing hub, as well as additional established infrastructure at Davyhurst. This has facilitated the rapid unlocking of the value contained within the known resource base held by the Company.","1,887",OBM,,PERTH,
Parabellum Resources,,,,2020,,,30-Jun-2025,$0,$750,$0,$0,$-1.49m,$-4.50m,$2.71m,$4.28m,$73.00k,$148.66k,,,,,,,,$0,$0,$0,$0,,,,,,,,,,,,,,,,,BDO Audit Pty Ltd,,"Parabellum Resources Limited (PBL) is an ASX…Parabellum Resources Limited (PBL) is an ASX listed public mineral exploration company committed to increasing shareholder wealth through the acquisition, exploration and development of mineral resource projects in Australia. The company holds 100% interest in 4 projects situated in a highly prospective region in New South Wales, Australia. Company's existing project portfolio offers exposure to nickel, cobalt, copper and gold.",62,PBL,,PERTH,
