Ticker,Short Name,Cntry Terrtry Of Dom,Sec Type,Market Cap,Revenue:Y,Tot Assets:Y,Number of Employees LF,ICB Sector Name,ICB Subsector Name,GICS Ind Name,GICS SubInd Name,BICS L3 Ind Nm,BICS L4 Sub Ind Nm,BICS L5 Seg Nm,BICS L6 Seg Nm
TRIC SS Equity,BRYGGPIPAN AB,SE,Common Stock,--,46.82M,35.53M,69,Industrial Metals and Mining,General Mining,--,--,Machinery,Pollution Control Equipment,--,--
1251571D PW Equity,PROMET,PL,Common Stock,--,47.05M,30.48M,--,Industrial Metals and Mining,Nonferrous Metals,--,--,Industrial Intermediate Prod,Fabricated Metal & Hardware,--,--
BEIC US Equity,BEICANG IRON & S,CN,Common Stock,--,50.97M,20.14M,--,Industrial Metals and Mining,Iron and Steel,--,--,Steel,Steel Producers,Specialty Metals,--
BMSK RU Equity,BASHKIRSKII-BRD,RU,Common Stock,--,51.00M,98.76M,6,Industrial Metals and Mining,Nonferrous Metals,--,--,Metals & Mining,Base Metals,--,--
1885191D US Equity,CHINA PRECISION,HK,Common Stock,--,51.42M,82.61M,--,Industrial Metals and Mining,Iron and Steel,Metals & Mining,Steel,Steel,Steel Producers,--,--
5781 JP Equity,TOHO KINZOKU CO,JP,Common Stock,--,52.64M,69.55M,--,Industrial Metals and Mining,Nonferrous Metals,Metals & Mining,Diversified Metals & Mining,Metals & Mining,Base Metals,--,--
JFI CN Equity,JEMI FIBRE CORP,CA,Common Stock,--,54.32M,122.70M,--,Industrial Metals and Mining,General Mining,Paper & Forest Products,Forest Products,"Forestry, Paper & Wood Products",Forestry & Logging,--,--
PBDT RU Equity,POBEDIT,RU,Common Stock,--,54.51M,50.56M,--,Industrial Metals and Mining,Nonferrous Metals,--,--,Steel,Steel Producers,--,--
INOR RO Equity,INTFOR SA,RO,Common Stock,--,55.31M,31.46M,560,Industrial Metals and Mining,Iron and Steel,--,--,Steel,Steel Producers,"Long, Pipe & Tubular",Pipe & Tubular
APV CN Equity,APIVIO SYSTEMS I,CA,Common Stock,--,59.02M,18.70M,--,Industrial Metals and Mining,General Mining,Communications Equipment,Communications Equipment,Telecommunications,Wireline Telecommunications,Wireline Phone Services,VOIP Services
